INSERT
abaya =aba
atmolysis 分气
backscratcher 长柄扒
corrasion 侵蚀
absurdism 荒诞主义
commutation 交换
backmost 最后面的
bacteriology 细菌学
bariatrics 肥胖病学
cherrywood 樱桃木
astronomer 天文学家
afterbrain 后脑
comte 伯爵
autotoxin 自体毒素
copacetic 极好的
arteriolar 小动脉的
acidproof 耐酸的
blindworm 无脚蜥蜴
coolish 微凉的
bellybutton 肚脐
carapace 甲壳壳
aculeus 刺螫刺
carcinosarcoma 癌肉瘤
cooncan 一种牌戏
ankyloglossia 舌黏连
blissful 有福的
carloadings 装车数
compensatory 补偿性的
baboosh 拖鞋
alimentation 营养
copperas 绿矾
americanisation 美国化
bewigged 戴假发的
accomplishment 造诣
calamary 枪乌贼
andrology 男科学
bowdlerism 任意删除
acrogenous 顶生的
chickenlivered 胆小的
affably 殷勤地
centiliter 厘升
baldpate 秃头的人
announcing 宣布
chess 国际象棋
articular 关节的
ammocete 鳃鳗幼体
asymmetry 不对称
ciderkin 淡苹果汁
bonanzagram 填充游戏
byproduct 副产品
autarky 自给自足
crystallography 结晶学
batta 战时津贴
ciel 天蓝色
chymistry 化学
basket 篮一篮
cowherd 牧牛者
audible 听得见的
acceptability 可接受性
baronet 从男爵
authentic 可信的
apetalous 无花瓣的
antipsychotic 安定药
cardinality 集的势
cotyloid 杯状的
culprit 犯人
brave 勇敢的
cathodal 阴极的
atypical 非典型的
clinandrium 花粉囊
cholic 胆汁的
activated 有活性的
choochoo 火车
brakesman 轫手
archetypal 原型的
calculated 计算出的
aluminum [化]铝
crookback 驼背
coronation 加冕礼
borrowing 借款
aweto 冬虫夏草
commensalism 共栖
chitinous 壳质的
calligrapher 书法家
addictive 上瘾的
counterattraction 反引力
classfellow 同班同学
archiepiscopal 大主教的
burbot 淡水鳕
bloodbath 大屠杀
aphis 蚜虫
autobiographer 自传作者
cleared 清除的
cataphonics 回音学
affuse 灌注
balsamiferous 生香油的
betweenness 中间状态
arithmetization 算术化
cowardly 胆怯地
allochroic 变色的
apogean 远地点的
crackless 无裂痕的
counting 计算
apoise 准备好的
confidingly 信任地
cooer 鸠鸽
biosynthesis 生物合成
counterexample 反例
antihelix 对耳轮
cigar 雪茄
blowpipe 吹风管
cookoff 烹饪比赛
compreg 胶合夹板
ajutage 喷射管
bagwig 袋装假发
anecdotage 逸事集
chordophone 弦乐器
badminton 羽毛球
carnivorous 食肉类的
commandress 女司令员
coenobite 修道士
bespatter 溅污
abnegation 放弃
coroner 验尸官
blendword 混合词
backfire 逆火
cityscape 都市风景
biohazard 生物危害
barratry 诉讼教唆
corpulence 肥胖
adjutantship 副官职位
cataphonic 回音学的
algetic 痛的
cordelle 纤绳
athletics 运动
aeronautic 航空的
benzoic 安息香的
allegory 寓言
arterial 动脉的
adorn 装饰
alogical 非逻辑的
childrenese 儿语
blossomy 花盛开的
aweigh 离开海底
coldish 微冷的
clockface 钟面
antiparallel 反平行的
algometry 痛觉计
arithmometer 计数器
concordance 和谐
conscientious 尽责的
anaplasty 整形术
antispeculation 反投机的
clothing 衣服
astrologer 占星家
bobstay 斜桅支索
corrade 侵蚀
bran 糠麸
brownette 棕发女人
concessible 可让步的
alkekengi 冬季樱
astride 跨着
chromatograph 套色复制
consenting 同意的
asthenosphere 岩流圈
buckeen 破落贵族
brimmy 有宽边的
beer 啤酒
assonant 类韵的
banking 银行业
aralia [植]
adaptability 适应性
cenobite 修道士
baldly 坦率地
brewery 酿酒厂
chengtu 成都
cubby 小房间
counterdeclaration 反对声明
antivirus 抗病毒液
brachycephalic 短头颅的
armful 一抱之量
anesthesiologist 麻醉学者
cannery 罐头工厂
anchithere 化石马
craftily 狡猾地
boanerges 传教士
cdrom 只读光盘
choanocyte 环细胞
agglomerative 会凝聚的
codetta 小尾声
bilinear 双线性的
bushiness 灌木丛生
autoincrement 自动增量
cleaners 洗衣店
countryroad 乡间道路
aerosphere 大气层
atrous 深黑的
controlment 控制
achromobacter 无色菌
countless 无数的
calligraphy 书法
cockroach 蟑螂
circumrotatory 旋转的
antiproton 反质子
cetologist 鲸类学者
argentum [化]银
chalcopyrite 黄铜矿
beebread 蜜蜂食料
antibiosis 抗生
crytic 隐含的
clavicembalo 大键琴
articulation 清晰度
cohesive 粘着的
austenite [冶]体
conjurer 魔术师
centesis 穿刺术
antipasto 开胃食物
actinomycosis 放射菌病
bloodletting 放血
biographically 传记体地
anglophobe 反英者
beachscape 海滨景色
adverb 副词
alterant 改变的
antibilious 治胆病的
clutter 混乱
aceraceous 槭树科的
cecum 盲肠
boxcar 货车车厢
cornloft 谷类仓库
beseem 适合于
bandsaw 用带锯锯
coaxal 共轴的
chapfallen 沮丧的
beaty 摇摆的
battlefront 前线
catagenesis 退化
azote 氮
aeroplane 飞机
barf 呕吐
acusection 电针割法
chatterer 饶舌的人
backer 支持者
calcaneal 脚后跟的
aggiornamento 现代化
actable 能实行的
beatlemania 披头士狂
bacteriologist 细菌学家
coprolite 粪化石
butane 丁烷
ashake 摇动的
aerophyte 附生植物
assailant 攻击者
alan 艾伦
anywhere 无论何处
banns 结婚预告
corvette 轻巡洋舰
char 烧焦
barrow 手推车
aglossal 无舌的
believable 可信的
bemuse 使发呆
antiresonance 反共振
acridness 辛辣苦
beginner 初学者
bern 伯尔尼
caffeic 咖啡的
aha 啊哈
cephalothorax 头胸部
astronavigation 太空航行
cowled 带头巾的
backache 背痛
aorta 大动脉
blackberry 黑莓
collectivism 集体主义
absquatulater 开小差者
chemotropically 向药性地
beater 搅拌器
coniferae 松柏科
conscientiously 良心上
byzantium 拜占庭
allotment 分配
amulet 护身符
antineutron 反中性子
antelope 羚羊
aerography 气象学
amylopsin 胰淀粉酶
cavernous 似巨穴的
almightiness 全能
collimate 校准
chancel 高坛
commemorate 纪念
chiroptera 翼手目
catarrhine 狭鼻猿
blastproof 防爆炸的
auricle 外耳
catoptrics 反射光学
amortize 分期清偿
augmentation 增加
bludgeon 大头棒
celestial 天上的
bulletproof 防弹的
clearing 空旷地
biochip 生物芯片
azurite 蓝铜矿
autoharp 自鸣筝
carcinectomy 癌切除术
braize 炖蒸
concerto 协奏曲
consenescence 衰老
approving 满意的
biography 传记
constipation 便秘
congealer 冷藏器
corium 真皮
allodially 自由地
bloater 腌熏鲱鱼
circumnavigate 环航
creditability 可信性
cannot 不能
backrest 靠背
boots 擦靴人
cosmographic 宇宙学的
appositional 同位格的
brummie 伯明翰人
boxer 拳师
chairperson 主席
conciliator 抚慰者
bradawl 小锥
birthplace 诞生地
bindwood 常春藤
cambric 细薄布
checkered 多变的
coconut 椰子
bickiron 砧砧子
chapiter 柱头
cancerophobia 恐癌症
campagna 平原
cacoepy 发音不准
bemock 讥笑
anabranch 支流
biogenesis 生源论
beehouse 养蜂场
coccygeal 尾骨的
conflate 合并
astrand 搁浅地
aurelia 蛹水母
collyrium 洗眼剂
archeology 考古学
criminological 犯罪学的
cumulostratus 层积云
cuttable 可缩减的
bathsheba 所罗门王
alienor 让渡人
cronyism 任用亲信
compline 晚祷
bandage 绷带
cinque 五五点
cumquat 金橘
chasten 磨炼
bandbox 硬纸盒
capias 拘票
blanquet 布朗克梨
buyable 可买的
balanoid 橡实形的
condiments 调味品
banana 香蕉
baulk 阻碍
axhammer 斧槌
cobbra 头头盖
adverbially 当副词地
conferrable 能授与的
ambeer 烟草汁
brose 麦片汤
circlewise 环形地
corrigendum 勘误表
cutlery 餐具
cathexis 全神贯注
antenna 天线
boardinghouse 寄宿公寓
chirology 手之研究
conceptualist 概念论者
awny 有芒的
bagdad 巴格达
climatic 气候上的
beseechingly 恳求地
anthrop 人类学
cybernetic 控制论的
aphemic 失语症的
conspicuous 显著的
crossword 纵横字谜
brochure 小册子
bannock 一种薄饼
calorify 加热于
afford 提供
accusingly 责难地
codebreaker 电码译员
balconied 有阳台的
cybernatic 控制论的
chlorin [化]氯
blackface 扮演黑人
cancerization 癌化
creamometer 乳脂计
colessee 共租人
chillily 冷漠地
challenger 挑战者
acceleration 加速度
connectivity 连通性
chutty 口香糖
aneurysm 动脉瘤
aphorist 警句家
countertendency 反倾向
armor 装甲
anigh 靠近
curatorial 医药的
chiromancer 手相家
chemisette 紧胸内衣
coronate 加冕
collegiate 学院的
ceriferous 产蜡的
cheapness 廉价
autolysis 自我分解
archducal 大公爵的
assembler 汇编程序
bruit 散播
chequebook 支票簿
cervicitis 子宫颈炎
biofeedback 生物反馈
crossrail 横木
chant 圣歌
cancerogenic 导致癌的
auriscopically 耳镜地
asphalt 沥青
buttocks 臀部
celluloid 赛璐珞
agilely 敏捷地
betroth 许配
cemental 白垩质的
aerothermoacoustics 气热声学
astigmometry 散光度计
custody 保官
brekker 早餐
campstool 轻便折凳
cornstarch 玉米淀粉
cursor 指针
cumulative 累积的
besiege 围困
cachot 地牢
cribble 粗筛
bolection 凸嵌线
bedtiime 就寝时间
countertide 逆潮
biretta 四角帽
confabulate 交谈
astigmometer 散光度计
aileron 副翼
chlorospinel 绿尖晶石
chillsome 寒冷的
chiasmus 交错法
auctorial 作者的
colloquium 讨论会
cephalated 有头的
comfortable 舒适的
amerciable 应罚款的
commissural 合缝处的
corp 公司
blackfish 黑鲸
bakemeat 肉饼
camleteen 仿驼毛呢
bushhammer 石工锤
allure 吸引
colluvial 塌积的
cuchifrito 炸肉丁
afterhours 业余的
bayonet 刺刀
clapnet 陷网
cataplasm 糊剂
cecal 盲肠的
cupriferous 含铜的
baboo 先生
coppering 铜包皮
cubature 求容积法
colorized 彩色的
chalaza 系带
anba 神父
cassimere 薄毛呢
bicolour 二色的
anisette 茴香酒
chanticleer 公鸡
beleague 围攻
adynamic 衰弱的
cete 一群獾
acranial 缺颅骨的
coactivated 共激活的
anteporch 外门廊
airplane 飞机
collenchyma 厚角组织
adjective 形容词
chorda 索腱
consignable 可委托的
accessibly 可接近地
childless 无儿女的
bookkeeping 簿记
alpheus 河神之名
amygdule 杏仁孔
croaky 哇哇叫的
arctoid 熊状的
barytes 重晶石
autofilter 自动筛选
aerolitics 陨石学
colorfast 不褪色的
angled 成角的
cavalcade 队伍
charman 工友仆役
camik 海狗皮靴
clinoscope 旋斜视计
anglo 英国人
batteries 电池
cuffy 黑人
americanization 美国化
crocodilian 鳄鱼
candlepower 烛光
agued 害疟疾的
childhood 孩童时期
committeewoman 女委员
acrobatism 杂技
bled 流血
cadi 下级法官
adae 手斧
aeroplanist 飞行家
curiosity 好奇心
combinatorial 组合的
anent 关于
arithmetician 算术家
astral 星形的
cholecyst 胆囊
agrarianize 重新分配
curtainfall 幕落
barometrical 气压计的
angelically 天使般地
boreal 北的
antiphonary 轮流吟唱
created 创造的
creditable 可信的
alcula 钩爪
balneation 入浴
bullet 子弹
bedpost 床柱
christening 洗礼仪式
beemistress 养蜂女
cruse 壶
burglary 入室行窃
chromatic 彩色的
cadmiferous 含镉的
brocoli 椰菜
andersen 安徒生
burying 埋埋葬
couteau 双刃大刀
chambezi 赞比及河
anthography 花谱
biotransformation 生物转化
asgard 仙宫
antitheism 无神论
audibly 可听见地
animal 动物
curricula 课程
baywreath 月桂冠
antitheist 无神论者
afterwar 战后的
ailurophilia 爱猫癖
curving 弯曲的
conte 小故事
axinite 斧石
alum 明矾矾
adhibit 粘贴
availably 有效地
absolvent 赦免的
confluent 汇合的
chaldean 占星术的
afreet 恶魔
astromancy 星卜术
bilestone 胆石
atrophic 萎缩的
cellaret 酒橱
cake 蛋糕
conjunctly 接合
checkbook 支票簿
absinthine 像苦艾的
asbestiform 石棉状的
celestite 天青石
bacteremic 菌血症的
barefoot 赤脚的
boblet 双人雪橇
chessylite 蓝铜矿
airworthiness 耐飞性
beforehand 预先
bondsman 奴隶
competence 能力
contemptible 可鄙的
arteritis 动脉炎
africanization 非洲化
chestnutting 拾栗子
airscrew 螺旋桨
corea 韩国
compasses 圆规
broodmare 传种母马
blancmange 牛奶冻
antares 心大星
airfreighter 运货飞机
chrysalides 蛹
afar 遥远地
accustom 使习惯于
barranco 深峡谷
ambary 洋麻
canescent 变灰白的
concernful 重要的
candler 烛台
aggradation 沉积
appurtenances 附属物
carcinogen 致癌物质
countermovement 反向运动
brinjaul 茄子
culminate 达到顶点
chuckwalla 大型蜥蜴
anourous 无尾的
assizes 巡回审判
clithral 有屋顶的
crescendo 声音渐增
bromine [化]溴
coequally 平等地
barm 酵母
blackie 黑人
brunch 早午餐
cancerology 癌学
conceptually 概念地
chariot 战车
alluring 迷人的
aurum [化]金
aphasia 失语症
counterproposal 反建议
cableway 空中索道
colonialism 殖民主义
candlestand 烛台架
birthday 生日
cooler 冷却器
canzone 合组歌
breaststroke 蛙式
auricular 耳的
antemortem 临死前的
antiserum 抗血清
coprostasis 便秘
culicid 蚊科的
batt 棉絮
adequately 充分地
chromosphere 色球
chapatty 薄煎饼
cottonize 使成绵状
antibody 抗体
carbolic 碳的
bacciferous 结浆果的
cossack 哥萨克人
arthrology 关节学
antiforeign 排外的
cocoon 茧
bustle 匆匆忙忙
chalky 白垩的
anticompetitive 反竞争的
beach 海滩
carriable 可携带的
apatite 磷灰石
cleanse 纯净
bumpiness 崎岖不平
bereaved 丧失的
apian 蜜蜂的
alcoholism 酒精中毒
accostable 易接近的
alible 有营养的
camwood 紫木
biannually 每半年地
anemophily 风媒传粉
adumbration 预兆
clarifier 澄清器
acetanilide 退热冰
cathedral 大教堂
cady 便帽
annuities 养老金
bailie 市政官
centreless 无中心的
chromaticity 染色性
anelasticity 滞弹性
abyss 深渊
conative 意动的
abel 亚伯
calculatedly 故意地
bairn 小孩
checkman 查票人
antennate 具触角的
carouse 狂欢作乐
biocoenosis 生物群落
counterpull 反引力
caniniform 犬齿状的
celibacy 独身生活
chifforobe 衣橱柜
anlace 双刃短剑
bali 巴厘岛
accelerant 促进剂
cellophane 玻璃纸
ceder 转让人
aftergrowth 再生植物
barterer 交易商
conductibility 传导性
bravery 勇敢
citizenhood 公民身份
advancer 前进者
asteraceous 紫菀科的
artiste 技艺家
culmination 顶点
allegedly 依其申述
absolve 宣布免除
bauble 小玩意
bizzard 大风雪
countability 可数性
bayadere 舞妓
corpse 尸体
biconvex 两面凸的
callee 被召者
carbamidine [化]胍
basaltic 玄武岩的
beseeching 恳求似的
agraffe 搭扣
braver 勇敢的
absolvable 可赦免的
brainman 参谋
congruent 适合的
axiomatic 自明的
casque 盔
boulter 粗长钓丝
coverage 复盖
cardcase 名片盒
botany 植物学
acold 寒冷的
chilli 红辣椒
aimer 瞄准手
betty 贝蒂
aplite 半花岗岩
acoustician 声学家
coniform 圆锥形的
classmate 同班同学
collagen 胶原质
candescent 白热的
busiest 最忙的
banknote 钞票
curb 路边
argol 粗酒石
audiotyping 录音打字
brickmaker 制砖工人
antennal 触角的
barbate 有须的
carburization 渗碳
biennium 二年期间
adaptive 适应的
cowlike 似母牛的
bonnie 漂亮的
beatage 颓废派的
closely 接近地
bedck 装饰
aphasiology 失语症学
beaky 像鸟嘴的
auris <拉>耳
availablein 有效范围
attribution 归因
antiaircraft 防空的
allotheism 异神崇拜
aiguillette 肩带
caviar 鱼子酱
cementation 粘固
columbia 哥伦比亚
comminution 粉碎
cornu [解]角
axiologist 价值论者
appraise 评价
caribbean 加勒比海
blackguard 流氓
copilot 副驾驶员
commandable 可指挥的
companionway 升降扶梯
biconcave 两面凹的
chateaubriand 烤大牛排
annealing 退火
consular 领事的
assets 资产
bascule 活动结构
armadillo 犰狳
camper 露营者
castration 阉割
antiballistic 反弹道的
copybook 习字簿
balneotherapy 浴疗法
cleat 夹板
algal 海藻的
consignation 委托
cinefilm 电影胶片
axiomatize 使公理化
antimissile 反导弹的
cannula 套管
bell 铃钟
budgeteering 预算制订
bewitchingly 迷人地
baikal 贝加尔湖
begohm 十亿欧姆
bateleur 短尾鹰
clocking 孵蛋的
codetermine 共同决定
creeper 爬行者
appendicle 小附属物
bulbiferous 生球根的
chasmy 裂口多的
caac 中国民航
boggy 沼泽多的
chronometer 记时计
barbara 芭芭拉
arrayal 排列
chiasma 交叉
became 变得
circumferential 圆周的
bellows 风箱
cliffy 陡峭的
customer 消费者
bedbug 臭虫
agglutinogenic 可粘结的
autointoxicant 自体毒物
crystalline 水晶的
balletomane 芭蕾舞迷
bulldozer 推土机
cancered 患癌症的
blighted 毁灭的
completeness 完全
bulimia 易饿病
assemblywoman 女议员
centum 百
aspish 似毒蛇的
bulger 凸面木杆
balancer 权衡者
celandine 白屈菜
cinematics 电影艺术
chook 鸡
anthracite 无烟煤
alptop 膝上型的
antitoxic 抗毒素的
choreatic 舞蹈症的
bragger 吹牛
counterevidence 反证
conclusively 最后地
betoken 预示
bookmark 书签
cellulose 纤维素
antipersonnel 杀伤的
auxochrome 助色团
armonica 玻璃口琴
birthrate 出生率
algebra 代数学
anzuk 澳新英
biomathematics 生物数学
bedsheet 床单
antimechanized 反装甲的
bespeak 预订
axil 叶腋
barley 大麦
abductor 诱拐者
conformability 一致性
chromate 铬酸盐
admonitory 劝告的
artifice 技巧
cutty 短的
busier 比较忙碌
bessie 贝茜
choral 合唱队的
calorific 生热的
capnomancy 用烟占卜
authoress 女作家
chemosynthesis 化学合成
counterspy 反间谍
absolutization 绝对化
blear 模糊
bourse 交易所
aestheticism 唯美主义
booklore 书本知识
abasement 降低
cryptogram 密码
clothback 布面书
bethink 想起
catboat 独桅艇
argentite 辉银矿
chemiculture 水栽法
advection 水平对流
centimeter 厘米
aesthetician 审美学家
burke 避免
astigmatometry 散光度计
cartomancy 纸牌卜卦
antifeudal 反封建的
argon [化]氩
balloon 气球
amberfish [鱼]鰤
amplification 扩大
accouche 接生
agress 攻击
billiken 福神
coalize 加入联盟
alary 翼状的
cumulocirrus 卷积云
completion 完成
asbestus 石棉
brainteaser 难题谜
antewar 战争前的
autoff 自动跳页
atonable 可补偿的
anzam 澳新马
antetype 原型
avenger 复仇者
bookbinder 装订商
angelological 天使学的
bejewel 饰以珠宝
autogenous 自生的
calcination 煅烧
affusion 注水
carven 雕刻的
academical 大学制服
anuresis 无尿
according 依照
cancellation 取消
adrate 附加税
counterterror 反暴行
bookstall 书报摊
carrot 胡萝卜
algology 藻类学
cozen 欺骗瞒
caritas 博爱
cruiser 巡洋舰
astringer 驯鹰师
chlorodyne 利眠宁
alors 那末
counterdeed 反对证书
battleship 战舰
bepuzzle 使困惑
churchlike 像教堂的
assimilable 可同化的
catenulate 链状的
arith 数学
byre 牛栏
becalmed 平静的
charity 慈善
broadax 大斧钺
capsicum 辣椒
clothespole 晒衣柱
bronzesmith 青铜匠
bifurcation 分歧
autointoxication 自体中毒
blimey 啊呀!
armlock 锁臂勾腿
columnist 专栏作家
calorifacient 发热的
complimental 恭维的
cobelligerent 战时盟国
azygous 非对偶的
astropologist 人类学家
cryogenic 低温学的
bourgeoisie 资产阶级
aeromedicine 航空医学
concretization 具体化
bloodworm 红蚯蚓
culicine 库蚊的
cabbagehead 笨蛋
cremains 骨灰
askance 斜斜视
consolidate 巩固
bookseller 书商
allseed 多子植物
chopsticks 筷子
coeducation 男女同校
amylum 淀粉
beak 鸟嘴喙
anabas 攀鲈
aborning 产生中的
brainpan 头盖
anachronism 时代错误
aperiodicity 不定期
algologist 藻类学家
adorably 崇拜
blooey 故障的
colorplate 彩色版
bedlamp 床头灯
aviatress 女飞行家
curriculum 课程
conkers 板栗游戏
chimb 凸边沟
armorist 纹章专家
arrhythmic 无节奏的
bactericidal 杀菌的
adjutancy 副官职
bookplate 藏书标签
beemaster 养蜂家
copra 干椰子肉
bisk 浓汤
bawcock 好汉
chanty 船歌
adeni 亚丁的
atmology 水蒸气学
cuneate 楔形的
buttonhole 钮扣孔
bridesman 男傧相
actinochemistry 光化学
besmirch 弄污
antiozonant 抗臭氧剂
avoidable 可避免的
comedian 喜剧演员
ablactate 使断奶
choreopoem 配舞诗剧
arundinaceous 芦苇的
biomathcmatics 生物数学
conductive 传导的
cholelith 胆石
astrospace 宇宙空间
bettor 打赌者
assimilate 吸收
bottleful 一瓶之量
abba 神父
already 已经
commissure 接合处
brain 脑头脑
beezer 鼻子
breezeless 无风的
cryosurgery 冷冻手术
credulous 轻信的
caterpillar 毛虫
aciduric 耐酸的
airflow 气流
apprehend 领会理解
buhl 镶嵌细工
absinthin 苦艾素
chansonnier 歌手
crushing 决定性的
adsorptive 吸附的
abuttals 地界
cheery 愉快的
ametabolic 不变形的
brine 盐水
casualty 伤亡
checktaker 收票员
bitumen 沥青
axstone 斧石
astromantic 星卜术的
complicacy 复杂性
clothesman 旧衣商
caesium [化]铯
bursiform 囊形的
comedietta 小喜剧
bechamel 调味酱
affectlessness 冷酷无情
bejesus 老天
ampullaceous 瓶状的
agenesis 发育不全
corrasive 侵蚀的
crossbow 石弓弩
ceanothus 鼠李
apex 顶点
asia 亚洲
astrolatry 天体崇拜
ballistician 弹道学家
cubiform 立方形的
afferent 传入的
afghanistani 阿富汗人
curculio 象鼻虫
brainfag 脑疲劳
copenhagen 哥本哈根
clava 棒状体
blandiloquence 甜言蜜语
coachman 马车夫
coeditor 共编者
astrachan 俄国羔皮
boatswain 水手长
angelet 小天使
cellule 小细胞
cienaga 沼泽
buddha 佛
catenarian 链状的
bismuth [化]铋
atacamite 绿盐铜矿
arista 刺芒
bergamasque 贝加莫舞
carniferous 生肉的
cider 苹果酒
archduke 大公
coppice 矮林
automaticity 自动性
boomtown 新兴都市
abstraction 提取
celticize 凯尔特化
consuming 强烈的
blackdamp 窒息瓦斯
billfold 皮夹
activize 激起
anion 阴离子
autohypnosis 自我催眠
consecutively 连续地
claimable 可要求的
brainwork 脑力劳动
abiological 非生物的
avitrice 女飞行家
archaeology 考古学
arteriole 细动脉
beggar 乞丐
arbitrable 可裁决的
convulsively 痉挛性地
acidimeter 酸比重计
bristling 竖立的
crossarm 横木
alabandite 硫锰矿
altostratus 高层云
amputation 切断手术
conflagate 燃烧
concur 同时发生
arithograph 运算图
census 人口普查
annulose 有环的
agatha 阿加莎
actinograph 辐射仪
cleithral 有屋顶的
alliteration 头韵
chronologist 年代学者
ashtray 烟灰缸
crosstab 交叉表
buddhism 佛教
celaeno 昴星团
bacteriolysin 溶菌素
apheliotropic 背光性的
bloodlust 杀戮欲
alveolitis 齿槽炎
cuticle 表皮
achromatopsy 完全色盲
cannabic 大麻的
alpenhorn 山笛
atmospheric 大气的
cetaceum 鲸脑
bellwaver 徘徊不已
beingless 不存在的
blessed 受祝福的
congregate 聚集
avicide 杀害鸟类
cerebrospinal 脑脊髓的
auditing 审核
chinaware 陶瓷器
compossible 可共存的
collator 校对机
citation 引用
baas 老板
abdominal 腹部的
brother 兄弟
amuck 疯狂地
bidden 出价
coco 椰子树
badness 恶劣状态
antebrachium 前臂
asbestoidal 似石棉的
centimillionaire 亿万富翁
anew 重新再
advisably 明智地
ananym 倒名
ballon 轻快优雅
blister 水泡
caseophile 嗜干酪者
barite 重晶石
actress 女演员
amplitudinous 极充足的
breaker 断路器
coadjustment 相互调节
campaniform 钟形的
bookshop 书店
comet 彗星
cornus 山茱萸
appal 惊骇
caliduct 暖气管
confluence 汇合
avirulence 无毒性
bullbaiting 逗牛游戏
concernedly 担着心
cockiness 骄傲自大
crashworthiness 防撞性
caput 头首
betterment 改良
chowry 蝇拂
circlet 小圈
aesopian 伊索的
apograph 誊本
archeological 考古学的
beginning 开始
cuprum 铜
coadjust 相互调节
crispin 鞋匠
archeologist 考古学家
coding 译码
ameliorable 可改善的
brassiere 奶罩
claval 棒状体的
autolatry 自我崇拜
battlewagon 战舰
cartwright 车匠
biaxial 二轴的
anyplace 任何地方
angelologic 天使学的
coulometry 电量分析
bowling 保龄球
clumsy 笨拙的
believing 有信仰的
bagasse 甘蔗渣
arranging 安排
affreighter 租船运货
christolatry 崇拜基督
catenation 连锁
cerebellum 小脑
adjectival 形容词的
bulginess 凸面木杆
acupuncturist 针灸医生
bawdyhouse 妓院
bywalk 僻径
bullshit 胡说
censorate 检查机构
changkiang 长江
arrhizal 没有根的
aperitif 开胃酒
aforenamed 上举的
bitten 咬
cladding 覆层
corinthian 科林斯式
besprent 撒满的
castaneous 栗色的
brer 兄弟
accusant 控诉者
cull 精选
antarctica 南极洲
consequentially 必然地
armada 舰队
crystallitic 微晶的
cyaneous 深蓝色的
atheist 无神论者
accidence 入门
asterisk 星号
buccaneerish 海盗似的
chignon 假髻
anaesthetist 麻醉师
angelology 天使学
confabulator 闲谈者
bailor 寄托人
birdwoman 女飞行家
cobelligerency 战时盟国
cuticular 表皮的
canful 满罐
corroborator 确证者
clearway 超速道路
cedar 雪松
beatism 披头主义
clock 时钟
astonish 使惊讶
berry 浆果
conflation 异文合并
brushwood 矮灌木丛
covering 遮盖物
burnt 燃烧
coindication 征兆之一
anhydrous 无水的
comport 相称
ballroomology 交际舞术
crevette 虾
countersea 逆浪
autodrome 赛车跑道
chrysoprase 绿玉髓
algebrist 代数学家
corpselike 似尸体的
ashlaring 镶墙石板
brinkmanship 边缘政策
arborization 树枝状
colorblind 色盲的
certosina 镶嵌术
behavioural 动作的
apyrous 不易燃的
autographically 亲笔地
civics 公民
columniform 圆柱形的
creatinuria 肌氨酸尿
cheloid 蟹状肿
bankruptcy 破产
cedilla 变音符号
behalf 为利益
absord 吸收
conoid 劈锥曲面
caecal 盲肠的
contaminate 污染
bottled 瓶装的
boatman 船夫
collimation 瞄准
archetype 原型
cohobate 再蒸馏
argumentatively 激辩地
androphagous 吃人的
coact 共同合作
bughunter 昆虫学者
bellyhold 腹舱
collegiality 共同掌权
cryolite 冰晶石
cockatiel 澳洲鹦鹉
antisymmetric 反对称的
acidifier 成酸剂
attainment 达到
ananas 菠萝
conditionally 有条件地
baudekin 一种织锦
archpriest 主牧师
calorimetrist 量热学家
acoumeter 听力计
citable 可引用的
circunglibal 环地的
carpetweed 粟米草
cloudling 小云
adjustable 可调整的
cotidal 同潮的
cisborder 境内的
bandit 强盗
ambidexterity 怀二心
certified 被鉴定的
bastard 私生子
cornemuse 风笛
baseset 基本集
aloud 大声地
checkgate 堰门
chicory 菊苣
apiology 蜜蜂学
chlorometer 氯量计
breakthrough 突破
audiovisuals 视听教具
berimbau 拨铃波琴
caelum 雕具星座
boaster 自夸的人
brickwork 砌砖
animalize 使动物化
cleanhanded 清廉的
audiphone 助听器
boulangerite 硫锑铅矿
botanically 植物学地
aramaic 亚拉姆语
alleviant 缓和剂
antinoise 抗噪音的
annoit 涂油
commodity 日用品
arietta 小抒情曲
appropriately 适当地
ascham 阿斯克姆
collocate 配置
conceiver 构想者
avow 承认
cheaters 眼镜
conchoidal 贝壳状的
bedight 装饰
cornetto 小铜喇叭
applewood 苹果木
bantering 嘲弄的
cartful 一车
brant 黑雁
circumlittoral 沿海的
calamander 柿木
beautify 美化
avouch 确保
arvo 下午
conjunctive 连接的
bricklayer 砖匠
abundantly 丰富地
antimony [化]锑
birder 猎鸟者
acclivous 向上斜的
contemptuously 轻蔑地
craving 渴望
carphology 摹空
archery 箭术
bedroom 卧室
contadino 农夫
appeasement 缓和
braciole 酒烩肉卷
chef 厨师
aerospace 航空宇宙
aggradational 沉积的
clef 音部记号
bootlace 鞋带
centripetalism 向心性
ballerina 芭蕾舞女
antehall 前厅
counterpose 使对立
cornflakes 脆玉米片
chemistry 化学
aft 在船尾
branchiate 有鳃的
cheekybone 颊骨
bloodguilty 杀人的
clue 线索
cholesterin 胆固醇
aspirate 吸气
carabinier 卡宾枪手
anteport 外门
ancipital 剑形的
contrafluxion 局部充血
comprador 买办
coelomatic 有体腔的
colonnade 柱廊
britain 英国
archibald 高射炮
acousticon 助听器
bactericide 杀菌剂
calligraphist 书法家
chekiang 浙江
absentation 缺席
columbium [化]铌
astatki 重油燃料
casa 房屋
cohabitant 同居者
cloudage 云量
conceptualize 使有概念
borated 搀硼酸的
ablution 清洗
beebee =BB
